ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
iload iconst2 iadd aload invokevirtual,8,7,8,8,7,8,8,7044.92,,,,,,,,,
iload iconst3 iand isub istore,8,8,8,8,,8,8,6644.95,,,,,,,,,
iload iconst4 iadd iload iconst3,8,8,8,8,,8,8,14703.3,,,,,,,,,
iload ifIcmpge aload getfield iload,8,5,8,7,3,8,4,9001.74,,,,,,,,,
iload ifle aload iload aload,8,5,8,8,1,8,,14223.2,,,,,,,,,
iload invokevirtual istore aload iload,8,1,8,8,6,8,8,16631.1,,,,,,,,,
iload ldc iand istore iload,8,2,8,7,4,8,8,21161.7,,,,,,,,,
iload newarray astore iconst0 istore,8,,,8,,8,8,8425.82,,,,,,,,,
instanceofInsn ifeq aload checkcast checkcast,8,8,8,8,8,8,8,7271.35,,,,,,,,,
invokespecial gotoInsn aload invokespecial istore,8,,8,8,,8,8,5260.85,,,,,,,,,
invokevirtual areturn aload instanceofInsn ifeq,8,8,8,8,8,8,8,4125.56,,,,,,,,,
invokevirtual getfield invokevirtual pop iinc,8,,8,8,8,8,8,7437.28,,,,,,,,,
invokevirtual invokeinterface iinc gotoInsn aload,8,,8,8,3,8,8,11487.8,,,,,,,,,
invokevirtual pop aload getfield ifeq,8,7,8,8,8,8,8,1625.64,,,,,,,,,
invokevirtual pop gotoInsn aload bipush,8,,8,8,8,8,8,22701.4,,,,,,,,,
invokevirtual pop iinc gotoInsn gotoInsn,8,,,8,8,8,8,5737.07,,,,,,,,,
istore aload getfield astore aload,8,1,8,8,8,8,13,3050.96,,,,,,,,,
istore aload iload iconst2 iadd,8,,8,8,4,8,8,9822.67,,,,,,,,,
istore gotoInsn ldc istore gotoInsn,8,,7,8,,8,8,9460.25,,,,,,,,,
istore iload aload getfield ifIcmpge,8,1,8,8,5,8,8,1576.15,,,,,,,,,
ldc iand bipush ifIcmplt aload,8,8,8,8,8,8,6,14547.8,,,,,,,,,
ldc iconst1 invokespecial putstatic newInsn,8,7,8,8,8,8,8,2149.39,,,,,,,,,
ldc istore gotoInsn ldc istore,8,,7,8,,8,8,6813.47,,,,,,,,,
newInsn dup aload dup getfield,8,12,8,8,8,8,8,12064.6,,,,,,,,,
pop gotoInsn aload bipush invokevirtual,8,,8,8,8,8,8,8393.19,,,,,,,,,
pop iinc gotoInsn gotoInsn aload,8,,,8,8,8,8,5122.87,,,,,,,,,
putfield aload aload putfield gotoInsn,8,,8,8,8,8,8,4220.02,,,,,,,,,
putfield aload getfield aload getfield,8,1,8,8,8,8,8,1896.11,,,,,,,,,
putfield aload getfield invokespecial astore,8,8,8,8,8,8,8,6288.37,,,,,,,,,
<code> <code> <code> aload dup,7,52,7,7,7,7,4,4551.95,,,,,,,,,
<code> <code> <code> iconst0 istore,7,6,7,7,3,7,4,1645.05,,,,,,,,,
<code> <code> aload dup getfield,7,19,7,7,7,7,4,2421.48,,,,,,,,,
<code> <code> aload getfield ifnull,7,7,7,7,7,7,2,1597.75,,,,,,,,,
aload aload aload aload invokeinterface,7,7,7,7,7,7,7,1676.41,,,,,,,,,
aload aload iload iload invokestatic,7,7,7,7,4,7,7,6905.64,,,,,,,,,
aload aload invokespecial aload areturn,7,7,7,,7,7,7,2213.27,,,,,,,,,
aload astore aload getfield astore,7,,7,7,7,7,7,5008.92,,,,,,,,,
aload getfield aload checkcast invokevirtual,7,6,7,7,7,7,7,2980.19,,,,,,,,,
aload getfield aload invokevirtual aload,7,5,7,7,7,7,7,1223.16,,,,,,,,,
aload getfield ifnonnull aload aload,7,1,7,7,7,7,2,7951.1,,,,,,,,,
aload getfield ifnonnull aload newInsn,7,5,7,7,7,7,,2637.67,,,,,,,,,
aload getfield iload aload aload,7,4,7,6,7,7,7,20852.8,,,,,,,,,
aload iload aload iload invokevirtual,7,1,7,7,2,7,7,2821.97,,,,,,,,,
aload iload getstatic aastore gotoInsn,7,,7,7,7,7,7,7950.54,,,,,,,,,
aload iload iload invokestatic istore,7,2,7,7,,7,7,6812.84,,,,,,,,,
aload iload invokespecial gotoInsn aload,7,,7,7,,7,7,8093.5,,,,,,,,,
aload iload invokevirtual istore iload,7,2,6,7,1,7,7,10728.9,,,,,,,,,
aload iload putfield aload areturn,7,,7,6,5,7,7,2374.02,,,,,,,,,
aload instanceofInsn ifeq aload getfield,7,6,7,7,7,7,5,4654.38,,,,,,,,,
aload invokevirtual astore aload getfield,7,,7,7,7,7,7,2982.98,,,,,,,,,
aload invokevirtual astore aload iload,7,2,7,7,5,7,7,21956.1,,,,,,,,,
aload invokevirtual invokevirtual pop aload,7,6,7,5,7,7,7,2152.79,,,,,,,,,
areturn aload getstatic ifAcmpne getstatic,7,7,7,7,7,7,,6879.62,,,,,,,,,
areturn getstatic areturn getstatic areturn,7,5,7,7,7,7,7,1735.43,,,,,,,,,
areturn ldc areturn ldc areturn,7,,7,7,7,7,7,3579.91,,,,,,,,,
bipush invokevirtual pop gotoInsn aload,7,1,7,7,7,7,7,4309.98,,,,,,,,,
bipush istore gotoInsn aload getstatic,7,,7,7,7,7,7,19510.4,,,,,,,,,
getfield aload checkcast invokevirtual invokevirtual,7,7,7,7,7,7,7,4145.15,,,,,,,,,
getfield aload getfield aload invokevirtual,7,1,7,7,7,7,7,1576.78,,,,,,,,,
getfield aload invokevirtual aload getfield,7,3,7,7,7,7,7,1847.19,,,,,,,,,
getfield aload putfield aload aload,7,5,7,6,7,7,7,5882.24,,,,,,,,,
getfield bipush ior putfield aload,7,5,7,7,7,7,7,12300.6,,,,,,,,,
getfield ifnonnull aload newInsn dup,7,5,7,7,7,7,,5614.44,,,,,,,,,
getfield invokevirtual aload getfield invokevirtual,7,5,7,7,7,7,7,1312.09,,,,,,,,,
getstatic areturn aload getstatic ifAcmpne,7,7,7,7,7,7,7,1999.71,,,,,,,,,
getstatic areturn getstatic areturn getstatic,7,5,7,7,7,7,7,11774.3,,,,,,,,,
getstatic ifAcmpne getstatic areturn aload,7,7,7,7,7,7,,17887.8,,,,,,,,,
gotoInsn aload getstatic ifAcmpne bipush,7,7,7,7,7,7,,4977.65,,,,,,,,,
gotoInsn aload iconst1 invokespecial aload,7,,7,7,7,7,7,4351.96,,,,,,,,,
gotoInsn aload iload iconst1 iadd,7,7,7,7,1,7,7,8819.21,,,,,,,,,
gotoInsn aload iload invokevirtual istore,7,1,7,7,4,7,7,6316.64,,,,,,,,,
gotoInsn gotoInsn aload instanceofInsn ifeq,7,,7,7,7,7,7,3668.91,,,,,,,,,
gotoInsn iload newarray astore iconst0,7,1,7,7,,7,7,30595.9,,,,,,,,,
gotoInsn ldc istore gotoInsn ldc,7,,6,7,,7,7,22866.4,,,,,,,,,
iadd istore aload iload invokevirtual,7,4,3,7,1,7,7,4569.83,,,,,,,,,
iadd istore iinc gotoInsn aload,7,,3,7,,7,7,8475.74,,,,,,,,,
iand ifeq aload getfield getfield,7,7,7,6,7,7,6,4669.09,,,,,,,,,
ifAcmpne bipush istore gotoInsn aload,7,,7,7,7,7,,12588.6,,,,,,,,,
ifAcmpne getstatic areturn aload getstatic,7,7,7,7,7,7,,14125.2,,,,,,,,,
ifne aload getfield getfield iload,7,2,7,7,7,7,,6422.03,,,,,,,,,
ifnonnull aload newInsn dup invokespecial,7,5,7,7,7,7,,12331.3,,,,,,,,,
ifnull aload getfield aload getfield,7,3,7,6,7,7,3,2349.14,,,,,,,,,
ifnull aload getfield astore aload,7,,7,7,7,7,,3147.08,,,,,,,,,
iinc gotoInsn gotoInsn aload instanceofInsn,7,,7,7,7,7,7,4209.73,,,,,,,,,
iinc gotoInsn iinc gotoInsn iinc,7,2,7,7,,7,7,7566.57,,,,,,,,,
iinc gotoInsn iload newarray astore,7,,7,7,,7,7,7434.43,,,,,,,,,
iload aload aload aload aload,7,7,7,7,7,7,7,13743.2,,,,,,,,,
iload getstatic aastore gotoInsn aload,7,,7,7,7,7,7,11650.8,,,,,,,,,
iload invokestatic istore aload iload,7,1,7,7,,7,7,16234.8,,,,,,,,,
invokeinterface iinc gotoInsn iload newarray,7,,7,7,,7,7,7900.48,,,,,,,,,
invokespecial aload iload invokespecial gotoInsn,7,,7,7,,7,7,9520.82,,,,,,,,,
invokespecial aload ldc invokespecial aload,7,,7,7,7,7,7,4014.79,,,,,,,,,
invokespecial gotoInsn aload iconst2 invokespecial,7,,7,7,7,7,7,10801.2,,,,,,,,,
invokespecial istore aload iload invokespecial,7,,4,7,,7,7,6908.04,,,,,,,,,
invokevirtual aload getfield ifnull aload,7,,7,6,7,7,4,3714.54,,,,,,,,,
invokevirtual pop gotoInsn aload instanceofInsn,7,,7,7,7,7,7,4251.69,,,,,,,,,
invokevirtual pop iinc aload getfield,7,,7,7,4,7,7,4959.85,,,,,,,,,
ior istore gotoInsn ldc aload,7,,6,7,6,7,7,16905.4,,,,,,,,,
istore aload getfield ifnull iload,7,5,7,8,1,7,14,4633.49,,,,,,,,,
istore aload iload bipush iadd,7,1,7,7,2,7,7,8745.17,,,,,,,,,
istore aload iload invokespecial aload,7,,7,7,,7,7,7193.54,,,,,,,,,
istore gotoInsn aload getstatic ifAcmpne,7,,7,7,7,7,7,1401.67,,,,,,,,,
ldc areturn ldc areturn ldc,7,,7,7,7,7,7,16428.7,,,,,,,,,
ldc iand istore iload ldc,7,4,7,6,5,7,7,25258.2,,,,,,,,,
pop gotoInsn aload instanceofInsn ifeq,7,,7,7,7,7,7,2870.38,,,,,,,,,
pop newInsn dup aload getfield,7,2,7,7,7,7,7,6215.4,,,,,,,,,
<code> <code> aload getfield istore,6,,6,6,5,6,,2000.16,,,,,,,,,
<code> <code> aload invokevirtual astore,6,4,6,6,5,6,,3031.96,,,,,,,,,
<code> aload dup getfield iconst1,6,1,6,6,6,6,4,8988.26,,,,,,,,,
<code> aload getfield ifnull aload,6,6,6,6,6,6,1,1789.47,,,,,,,,,
<code> aload getfield istore iload,6,,6,6,5,6,,9336.26,,,,,,,,,
<code> aload invokespecial aload aload,6,,6,6,5,6,6,2278.46,,,,,,,,,
aastore gotoInsn aload iload getstatic,6,,6,6,6,6,6,22540.2,,,,,,,,,
aload aload aload invokeinterface returnInsn,6,6,6,6,6,6,6,2250.53,,,,,,,,,
aload aload getfield getfield iconst2,6,7,6,6,6,6,6,6640.67,,,,,,,,,
aload aload invokevirtual aload aload,6,,6,6,6,6,6,2309.58,,,,,,,,,
aload aload putfield aload iload,6,,6,6,6,6,6,13046.6,,,,,,,,,
aload getfield aload getfield invokespecial,6,,6,6,6,6,6,2290.35,,,,,,,,,
aload getfield aload invokevirtual gotoInsn,6,5,6,6,6,6,6,3744.21,,,,,,,,,
aload getfield astore aload aconstNull,6,,6,6,6,6,6,18291.9,,,,,,,,,
aload getfield bipush invokevirtual aload,6,7,6,6,6,6,6,4243.19,,,,,,,,,
aload getfield iconst0 aload iconst0,6,,6,6,6,6,6,21206.5,,,,,,,,,
aload getfield ifeq aload aload,6,5,6,6,6,6,3,3402.31,,,,,,,,,
aload getfield ifeq aload getfield,6,2,6,6,6,6,6,1797.66,,,,,,,,,
aload getfield invokevirtual iadd iadd,6,4,6,5,6,6,6,11112.4,,,,,,,,,
aload getfield invokevirtual iadd istore,6,4,3,6,,6,6,6560.33,,,,,,,,,
aload iconst2 invokespecial aload ldc,6,,6,6,6,6,6,22108.4,,,,,,,,,
aload iload aload aload aload,6,5,6,6,6,6,6,27185.7,,,,,,,,,
aload iload aload invokeinterface invokestatic,6,4,6,6,1,6,6,8562.38,,,,,,,,,
aload iload aload invokevirtual aload,6,5,6,6,4,6,6,2073.93,,,,,,,,,
aload invokespecial istore iinc gotoInsn,6,,6,6,6,6,6,11221.4,,,,,,,,,
aload invokevirtual aload getfield ifnull,6,,6,5,6,6,6,2656.9,,,,,,,,,
aload invokevirtual ifeq iload bipush,6,6,6,6,2,6,,15248.8,,,,,,,,,
aload invokevirtual ifeq iload istore,6,6,5,6,6,6,,7803.11,,,,,,,,,
aload invokevirtual ifeq iload ldc,6,6,6,6,6,6,,20427,,,,,,,,,
aload invokevirtual invokeinterface iinc gotoInsn,6,,6,6,3,6,6,12689.2,,,,,,,,,
arraylength ifIcmpge aload iload aload,6,4,6,6,3,6,2,13299.5,,,,,,,,,
astore aload aconstNull putfield aload,6,,6,6,6,6,6,6529.43,,,,,,,,,
astore aload aload getfield aload,6,1,6,6,6,6,6,6250.1,,,,,,,,,
astore aload getfield iconst0 aload,6,,6,6,6,6,6,6276.48,,,,,,,,,
astore gotoInsn ldc aload invokevirtual,6,,6,6,6,6,6,8019.96,,,,,,,,,
baload sipush iand istore iload,6,,6,6,6,6,6,13220.8,,,,,,,,,
bastore aload iload putfield aload,6,,6,5,5,6,6,9571.2,,,,,,,,,
bipush aload getfield invokevirtual iadd,6,4,6,5,6,6,6,7725.4,,,,,,,,,
bipush ishl aload iload iconst1,6,6,6,6,6,6,6,24714.7,,,,,,,,,
dupX1 iconst1 iadd putfield iload,6,6,6,6,4,6,6,6733.38,,,,,,,,,
getfield aload getfield getfield aload,6,6,6,6,6,6,6,3915.44,,,,,,,,,
getfield aload getfield invokevirtual ifeq,6,6,6,6,6,6,6,1095.63,,,,,,,,,
getfield astore aload aconstNull putfield,6,,6,6,6,6,6,4185.28,,,,,,,,,
getfield astore gotoInsn aload getfield,6,,6,6,6,6,6,4234.28,,,,,,,,,
getfield iload iaload istore aload,6,1,6,6,2,6,6,11741.5,,,,,,,,,
getfield iload iaload istore iload,6,1,4,6,1,6,6,12302.6,,,,,,,,,
getfield invokevirtual iadd iadd istore,6,6,6,5,2,6,6,7705.65,,,,,,,,,
getfield invokevirtual pop gotoInsn aload,6,1,6,6,6,6,6,4527.37,,,,,,,,,
getfield ldc iand ifeq iinc,6,6,6,6,,6,4,12175.7,,,,,,,,,
getfield ldc invokevirtual pop iinc,6,,6,6,4,6,6,9112.95,,,,,,,,,
getfield sipush invokevirtual iload invokevirtual,6,6,6,6,,6,6,14933.5,,,,,,,,,
gotoInsn aload getfield astore aload,6,,6,8,6,6,6,2889.45,,,,,,,,,
gotoInsn aload getfield sipush invokevirtual,6,,6,5,6,6,6,8356.29,,,,,,,,,
gotoInsn aload iconst2 invokespecial aload,6,,6,6,6,6,6,7846.27,,,,,,,,,
gotoInsn aload iload getstatic aastore,6,,6,6,6,6,6,5996.12,,,,,,,,,
gotoInsn aload iload invokevirtual pop,6,1,6,6,4,6,6,5336.14,,,,,,,,,
gotoInsn iconst0 istore aload getfield,6,6,4,6,3,6,6,4277.23,,,,,,,,,
gotoInsn iinc gotoInsn iinc gotoInsn,6,3,6,6,,6,6,6900.44,,,,,,,,,
i2b bastore aload iload putfield,6,,6,6,5,6,6,5583.72,,,,,,,,,
iadd baload sipush iand ior,6,6,6,6,6,6,6,3597.14,,,,,,,,,
iadd iadd istore iinc gotoInsn,6,,5,6,,6,6,7655.27,,,,,,,,,
iadd invokevirtual istore aload iload,6,,6,6,1,6,6,22550.5,,,,,,,,,
iand bipush ishl aload iload,6,6,6,6,6,6,6,23740,,,,,,,,,
iand ifeq aload getfield ldc,6,2,6,6,6,6,4,9440.85,,,,,,,,,
iand ifeq iconst1 gotoInsn iconst0,6,5,6,6,6,6,2,7583.35,,,,,,,,,
iconst0 invokevirtual pop aload getfield,6,6,6,6,6,6,6,4876.51,,,,,,,,,
iconst0 invokevirtual pop newInsn dup,6,2,6,6,6,6,6,8253.35,,,,,,,,,
iconst1 iadd istore iload aload,6,,3,6,5,6,6,18698.5,,,,,,,,,
iconst1 iadd putfield iload iastore,6,6,6,5,4,6,6,4422.47,,,,,,,,,
iconst2 invokespecial aload ldc invokespecial,6,,6,6,6,6,6,10424.2,,,,,,,,,
ifeq aload aload getfield ldc,6,6,6,6,6,6,6,8308.8,,,,,,,,,
ifeq aload getfield getfield ldc,6,6,6,5,6,6,6,11119.4,,,,,,,,,
ifeq aload getfield ldc invokevirtual,6,,6,6,6,6,6,3533.12,,,,,,,,,
ifeq iload bipush iadd istore,6,6,4,6,2,6,,8885.66,,,,,,,,,
ifeq iload ldc ior istore,6,6,6,6,6,6,,4476.29,,,,,,,,,
ifIcmpge aload aload iload aaload,6,,6,6,2,6,1,18522.9,,,,,,,,,
ifIcmpge aload iload aload iload,6,3,6,6,3,6,2,38784.3,,,,,,,,,
ifne aconstNull gotoInsn aload iload,6,2,6,6,5,6,,21001.1,,,,,,,,,
iinc gotoInsn iinc gotoInsn aload,6,2,6,6,,6,6,6918.97,,,,,,,,,
iload aload getfield aload getfield,6,,6,6,3,6,6,2427.68,,,,,,,,,
iload aload iload invokevirtual iadd,6,3,6,6,,6,6,13354.5,,,,,,,,,
iload baload sipush iand bipush,6,6,6,6,6,6,6,12114.9,,,,,,,,,
iload bipush aload getfield invokevirtual,6,4,6,6,2,6,6,2990.9,,,,,,,,,
iload bipush iadd istore gotoInsn,6,,4,6,2,6,6,6555.53,,,,,,,,,
iload iconst2 iadd invokevirtual iadd,6,1,6,6,2,6,6,21611.8,,,,,,,,,
iload iconst2 iadd invokevirtual istore,6,5,6,6,2,6,6,9310.45,,,,,,,,,
iload ifeq aload iload invokevirtual,6,1,6,6,3,6,,4043.9,,,,,,,,,
iload ifle aload aload iload,6,7,6,6,1,6,,48699.8,,,,,,,,,
iload iload invokestatic istore aload,6,1,6,6,,6,6,7869.3,,,,,,,,,
iload invokespecial gotoInsn aload invokespecial,6,,6,6,,6,6,4516,,,,,,,,,
iload invokevirtual pop aload iconst3,6,,6,5,2,6,6,22020.3,,,,,,,,,
iload invokevirtual pop aload iload,6,,6,6,,6,6,12420,,,,,,,,,
iload invokevirtual pop iinc gotoInsn,6,,6,5,,6,6,3596.57,,,,,,,,,
iload istore gotoInsn ldc aload,6,,5,6,5,6,6,17892.2,,,,,,,,,
iload ldc ior istore gotoInsn,6,,6,6,6,6,6,9392.84,,,,,,,,,
instanceofInsn ifeq aload getfield bipush,6,6,6,6,6,6,5,6184.48,,,,,,,,,
invokespecial aload getfield astore aload,6,,6,4,6,6,6,3960.06,,,,,,,,,
invokevirtual aload getfield aload invokevirtual,6,15,6,5,6,6,6,1320.98,,,,,,,,,
invokevirtual iadd aload invokevirtual pop,6,,6,6,6,6,6,11277.1,,,,,,,,,
invokevirtual iadd iadd istore aload,6,2,6,5,2,6,6,11034.6,,,,,,,,,
invokevirtual iadd istore aload iload,6,5,3,6,1,6,6,11976.6,,,,,,,,,
invokevirtual iconst0 invokevirtual pop aload,6,6,6,6,6,6,6,3253.23,,,,,,,,,
invokevirtual ifeq iconst1 gotoInsn iconst0,6,3,6,5,6,6,4,6655.43,,,,,,,,,
invokevirtual ifeq iload bipush iadd,6,6,6,6,2,6,,16204,,,,,,,,,
invokevirtual ifeq iload istore gotoInsn,6,,5,6,6,6,,6440.73,,,,,,,,,
invokevirtual ifeq iload ldc ior,6,6,6,6,6,6,,8903.48,,,,,,,,,
invokevirtual invokevirtual pop aload aload,6,,6,6,6,6,6,7510.75,,,,,,,,,
invokevirtual istore aload iload bipush,6,,6,6,1,6,6,20481.9,,,,,,,,,
invokevirtual pop aload getfield astore,6,,6,6,6,6,6,3955.26,,,,,,,,,
ishl aload iload iconst1 iadd,6,6,6,6,6,6,6,10583.5,,,,,,,,,
istore iconst0 istore iload iload,6,1,6,6,2,6,6,32379.5,,,,,,,,,
istore iinc gotoInsn iinc gotoInsn,6,,6,6,,6,6,8595.71,,,,,,,,,
istore iload ldc iand istore,6,,6,5,3,6,6,5476.6,,,,,,,,,
ldc iand ifeq aload aload,6,6,6,5,6,6,4,5735.68,,,,,,,,,
ldc invokevirtual invokevirtual iconst0 invokevirtual,6,,6,6,6,6,6,8209.87,,,,,,,,,
ldc invokevirtual pop iinc aload,6,,6,6,4,6,6,18258.1,,,,,,,,,
ldc ior istore gotoInsn ldc,6,,6,6,6,6,6,22126.3,,,,,,,,,
pop aload aload getfield invokevirtual,6,,6,6,6,6,6,1941.89,,,,,,,,,
pop aload getfield bipush invokevirtual,6,2,6,3,6,6,6,4406.64,,,,,,,,,
pop aload getfield ifeq aload,6,5,6,6,6,6,3,3943.36,,,,,,,,,
putfield aload dup getfield iconst1,6,1,6,6,6,6,6,14967.1,,,,,,,,,
putfield aload getfield iload aload,6,2,6,6,5,6,6,5749.46,,,,,,,,,
sipush iand bipush ishl aload,6,6,6,6,6,6,6,2955.69,,,,,,,,,
sipush iand istore iload sipush,6,,6,6,5,6,6,10007.8,,,,,,,,,
<code> <code> aload aload getfield,5,1,5,5,5,5,1,2026.96,,,,,,,,,
<code> <code> aload getfield astore,5,,5,5,3,5,,1869.67,,,,,,,,,
<code> <code> aload getfield iconst2,5,6,5,5,5,5,,1722.6,,,,,,,,,
<code> <code> aload invokespecial returnInsn,5,5,5,5,5,5,5,1997.08,,,,,,,,,
<code> aload getfield astore aload,5,,5,5,3,5,,1132.89,,,,,,,,,
<code> aload getfield bipush aload,5,,5,5,5,5,,4126.67,,,,,,,,,
<code> aload getfield bipush invokevirtual,5,2,5,5,5,5,,2516.42,,,,,,,,,
<code> aload invokespecial aload getfield,5,,5,5,5,5,1,1255.11,,,,,,,,,
aaload astore aload ifnull aload,5,,5,5,5,5,,3105.93,,,,,,,,,
aconstNull invokevirtual aload aload getfield,5,,5,5,5,5,5,8945.91,,,,,,,,,
aload aload aload getfield invokespecial,5,2,5,5,5,5,5,2063.53,,,,,,,,,
aload aload getfield getfield putfield,5,1,5,5,5,5,5,5100.44,,,,,,,,,
aload aload getfield iload iaload,5,,5,5,4,5,5,1668.54,,,,,,,,,
aload aload getfield iload iconst1,5,,5,6,1,5,5,13308.1,,,,,,,,,
aload aload getfield invokespecial gotoInsn,5,,5,5,5,5,5,3535.22,,,,,,,,,
aload aload getfield invokevirtual aload,5,3,5,5,5,5,5,1114.49,,,,,,,,,
aload aload invokespecial aload getfield,5,2,5,5,5,5,5,2494.42,,,,,,,,,
aload aload invokevirtual invokevirtual pop,5,4,5,4,5,5,5,3289.62,,,,,,,,,
aload dup getfield bipush ior,5,4,5,5,5,5,5,10003.1,,,,,,,,,
aload getfield aload getfield arraylength,5,2,5,5,5,5,5,6097.65,,,,,,,,,
aload getfield arraylength istore aload,5,4,4,5,5,5,5,6664.49,,,,,,,,,
aload getfield astore gotoInsn iconst0,5,,5,5,5,5,5,17657.8,,,,,,,,,
aload getfield bipush ifIcmpne aload,5,5,5,5,5,5,,11877.2,,,,,,,,,
aload getfield getfield iconst2 iadd,5,5,5,5,5,5,5,10385.9,,,,,,,,,
aload getfield getfield iload iconst0,5,2,5,5,5,5,5,21227.7,,,,,,,,,
aload getfield iadd istore iload,5,2,5,3,3,5,5,13281.7,,,,,,,,,
aload getfield ifIcmpge aload getfield,5,4,5,5,5,5,3,4122.41,,,,,,,,,
aload getfield iload aload getfield,5,3,5,5,4,5,5,7054.02,,,,,,,,,
aload getfield iload iaload aload,5,2,5,5,4,5,5,12942.5,,,,,,,,,
aload getfield invokespecial gotoInsn aload,5,,5,5,5,5,5,8452.91,,,,,,,,,
aload getfield sipush iand ifne,5,3,5,5,5,5,5,6665.31,,,,,,,,,
aload getfield sipush invokevirtual pop,5,3,5,5,5,5,5,10540.3,,,,,,,,,
aload iconst0 iload invokestatic aload,5,,5,5,3,5,5,4613.9,,,,,,,,,
aload iload iconst1 iadd invokestatic,5,3,5,5,,5,5,6945.83,,,,,,,,,
aload iload iconst1 isub iload,5,5,5,5,,5,5,7744.04,,,,,,,,,
aload iload iinc getstatic aastore,5,,5,5,5,5,5,5293.94,,,,,,,,,
aload iload iinc sipush iload,5,,,5,,5,5,12781.8,,,,,,,,,
aload iload invokevirtual areturn aload,5,5,5,5,5,5,5,10487.2,,,,,,,,,
aload iload invokevirtual pop iinc,5,,5,5,,5,5,5530.95,,,,,,,,,
aload iload putfield aload getfield,5,4,5,5,3,5,5,3625.99,,,,,,,,,
aload invokevirtual astore aload aload,5,,5,5,5,5,5,1619.33,,,,,,,,,
aload invokevirtual astore gotoInsn ldc,5,1,5,5,5,5,5,14653.7,,,,,,,,,
aload invokevirtual invokevirtual iconst0 invokevirtual,5,5,5,5,5,5,5,7165.62,,,,,,,,,
aload invokevirtual putfield aload aload,5,1,5,5,5,5,5,4358.69,,,,,,,,,
aload invokevirtual putfield aload ifnull,5,3,5,5,5,5,5,6628.01,,,,,,,,,
aload putfield aload iload putfield,5,,5,5,5,5,5,5395.76,,,,,,,,,
aload putfield gotoInsn aload aload,5,,5,5,5,5,5,8021.35,,,,,,,,,
aload putfield gotoInsn aload getfield,5,1,5,5,5,5,5,4451.88,,,,,,,,,
arraylength iconst1 isub istore iload,5,,2,5,2,5,5,7752.16,,,,,,,,,
arraylength ifIcmpge aload iload aaload,5,4,5,5,3,5,1,9397.86,,,,,,,,,
astore aload getfield astore aload,5,,5,5,5,5,5,2099.69,,,,,,,,,
astore aload getfield astore gotoInsn,5,,5,5,5,5,5,4022.82,,,,,,,,,
astore aload getfield ifnull aload,5,1,5,5,5,5,,3796.09,,,,,,,,,
astore aload iload iinc iload,5,,4,5,4,5,5,25882.9,,,,,,,,,
astore gotoInsn aload iload invokevirtual,5,4,5,5,3,5,5,4761.79,,,,,,,,,
astore iconst0 istore iconst0 istore,5,5,1,5,3,5,5,3707.05,,,,,,,,,
astore iload ifeq aload aload,5,,5,5,5,5,1,4513.32,,,,,,,,,
bipush aload getfield aload checkcast,5,5,5,5,5,5,5,6958.48,,,,,,,,,
bipush aload iload iconst2 iadd,5,3,5,5,1,5,5,13404.1,,,,,,,,,
bipush iadd invokevirtual istore iinc,5,,5,5,,5,5,8539.69,,,,,,,,,
bipush iadd istore aload iload,5,1,5,5,1,5,5,6224.65,,,,,,,,,
bipush iand ior i2b bastore,5,3,5,5,5,5,5,12332.4,,,,,,,,,
bipush invokevirtual pop aload areturn,5,1,5,4,5,5,5,2331.48,,,,,,,,,
dup aload getfield aload getfield,5,1,5,5,5,5,5,2179.74,,,,,,,,,
dup getfield sipush ior putfield,5,5,5,5,5,5,5,2910.05,,,,,,,,,
dup invokespecial putfield aload getfield,5,1,5,5,5,5,5,4979.27,,,,,,,,,
dupX1 iconst1 iadd putfield ldc,5,5,5,5,5,5,5,3820.53,,,,,,,,,
getfield aload getfield invokevirtual pop,5,1,5,5,5,5,5,1827.87,,,,,,,,,
getfield aload invokevirtual invokevirtual pop,5,5,5,4,5,5,5,4553.57,,,,,,,,,
getfield astore aload iload iinc,5,,5,5,4,5,5,18154.4,,,,,,,,,
getfield astore gotoInsn aload iload,5,,5,5,3,5,5,17533.3,,,,,,,,,
getfield astore gotoInsn iconst0 istore,5,,4,5,3,5,5,13124.5,,,,,,,,,
getfield bipush invokevirtual aload getfield,5,8,5,5,5,5,5,3700.29,,,,,,,,,
getfield bipush invokevirtual pop returnInsn,5,3,5,2,5,5,5,4046.6,,,,,,,,,
getfield getfield aload getfield aload,5,1,5,5,5,5,5,7904.46,,,,,,,,,
getfield getfield aload getfield getfield,5,4,5,5,5,5,5,2557.21,,,,,,,,,
getfield getfield iconst2 iadd invokevirtual,5,5,5,5,5,5,5,14863.3,,,,,,,,,
getfield iconst2 iadd invokevirtual aload,5,5,5,5,5,5,5,6916.36,,,,,,,,,
getfield ifIcmpge aload getfield iload,5,2,5,5,4,5,3,9589.72,,,,,,,,,
getfield ifnull aload getfield getfield,5,4,5,5,5,5,3,3176.1,,,,,,,,,
getfield iload aload aload aload,5,5,5,5,5,5,5,36184,,,,,,,,,
getfield iload invokevirtual pop aload,5,1,5,4,5,5,5,2913.77,,,,,,,,,
getfield invokevirtual iadd istore aload,5,5,2,5,,5,5,9242.56,,,,,,,,,
getfield sipush ior putfield aload,5,,5,5,5,5,5,15219.8,,,,,,,,,
gotoInsn iload ldc iand ldc,5,3,5,5,2,5,5,9085.79,,,,,,,,,
